Model,Period,C1,C2,C3,C4,C5,C6,C7
Sadigh Chang Egan Makdisi Young 1997,PGA,-1.274,1.1,0,-2.1,-0.48451,0.524,0
Sadigh Chang Egan Makdisi Young 1997,0.2,-0.497,1.1,-0.004,-2.08,-0.48451,0.524,0
Sadigh Chang Egan Makdisi Young 1997,0.3,-0.707,1.1,-0.017,-2.028,-0.48451,0.524,0
Sadigh Chang Egan Makdisi Young 1997,1.0,-2.355,1.1,-0.055,-1.8,-0.48451,0.524,0
Sadigh Chang Egan Makdisi Young 1997,PGA,-0.624,1,0,-2.1,1.29649,0.25,0
Sadigh Chang Egan Makdisi Young 1997,0.2,0.153,1,-0.004,-2.08,1.29649,0.25,0
Sadigh Chang Egan Makdisi Young 1997,0.3,-0.057,1,-0.017,-2.028,1.29649,0.25,0
Sadigh Chang Egan Makdisi Young 1997,1.0,-1.705,1,-0.055,-1.8,1.29649,0.25,0
